theme,name,link,text
economics,Возле Красноярской ТЭЦ-1 планируют построить новый жилой комплекс,https://news.mail.ru/economics/63213199/,Новый жилой микрорайон может появиться на окраине Красноярска.
economics,Politico: ФАТФ обсудит включение России в черный список на следующей неделе,https://news.mail.ru/economics/63227973/,"Международная группа по борьбе с отмыванием денег (ФАТФ) на следующей неделе может включить Россию в свой черный список. Мера может быть применена из-за того, что Москва, по утверждению Киева, который добивается санкций, якобы ведет активное сотрудничество с Северной Кореей и Ираном, финансирует ЧВК «Вагнер» и терроризм. Включение России в черный список может осложнить платежи, говорила глава ЦБ Эльвира Набиуллина."
economics,Сайты МВД России и ГИБДД оказались недоступны,https://news.mail.ru/economics/63227939/,Сайты МВД не работают уже порядка восьми часов.
economics,Правительство утвердило план развития срочного рынка топлива,https://finance.mail.ru/2024-10-16/pravitelstvo-utverdilo-plan-razvitiya-srochnogo-rynka-topliva-63227609/,"В 2025 году планируется установить обязательный норматив продаж и создать новые инструменты, привлекательные для финансовых игроков, выяснил РБК."
economics,Бельгия отказала БКС и Т-банку в разблокировке активов,https://finance.mail.ru/2024-10-16/belgiya-otkazala-bks-i-t-banku-v-razblokirovke-aktivov-63227610/,"Бельгия вновь отказала российским компаниям в разблокировке их замороженных за рубежом активов. Но у них остается возможность оспорить эти решения, в том числе в судебном порядке, отмечают юристы."
economics,Politico: ФАТФ примет решение о внесении РФ в черный список на следующей неделе,https://finance.mail.ru/2024-10-15/politico-fatf-primet-reshenie-o-vnesenii-rf-v-chernyy-spisok-na-sleduyuschey-nedele-63226839/,"БРЮССЕЛЬ, 15 октября. /ТАСС/. Группа разработки финансовых мер борьбы с отмыванием денег (ФАТФ) примет решение по вопросу о внесении России в черный список организации на следующей неделе. Об этом сообщает издание Politico со ссылкой на документ в распоряжении."
economics,В Турции сократят число отелей «все включено» из-за недоеденных блюд,https://finance.mail.ru/2024-10-15/v-turcii-sokratyat-chislo-oteley-vse-vklyucheno-iz-za-nedoedennoy-edy-63226726/,"В Турции вновь решили сократить число отелей по системе «все включено» из-за недоеденной еды на 1,5 миллиарда долларов. Об этом сообщает «Комсомольская правда»."
economics,Минфин предложил повысить минимальную цену на водку с 299 до 349 рублей,https://finance.mail.ru/2024-10-15/minfin-predlozhil-povysit-minimalnuyu-cenu-na-vodku-s-299-do-349-rubley-63226465/,"Министерство финансов предложило повысить с января 2025 года минимальную закупочную цену на крепкий алкоголь. Соответствующий проект приказа опубликован на портале правовых актов. Минимальная цена на водку составит 349 ₽ за 0,5 л, на коньяк — 651 ₽, на бренди — 472 ₽."
economics,В Европе заявили о возможности обойтись без российского газа,https://finance.mail.ru/2024-10-15/v-evrope-zayavili-o-vozmozhnosti-oboytis-bez-rossiyskogo-gaza-63226130/,"Евросоюз готов обходиться без российского газа, так как готовился к этому последние годы. Об этом по итогам заседания Совета министров энергетики стран объединения заявила Еврокомиссар по энергетике Кадри Симсон, ее слова приводит РИА Новости."
economics,Производитель зефира «Жизель» намерен подать в суд после жалоб на отравления,https://news.mail.ru/economics/63226217/,"Фабрика, которая производит зефир «Жизель» и «Сокол», готовит иск из-за публикаций о якобы массовых отравлениях ее продукцией. Ранее в СМИ появилась информация о том, что десятки человек якобы отравились зефиром. Коммерческий директор фабрики «Сокол» Михаил Шамис объяснил, что у некоторых покупателей есть непереносимость на компоненты, из которых готовят зефир. Кроме того, бытует ошибочное мнение, что этот низкокалорийный продукт можно есть сколько угодно."
economics,Гендиректор «Росатома» рассказал Путину о вкладе в экономику России,https://finance.mail.ru/2024-10-15/gendirektor-rosatoma-rasskazal-putinu-o-vklade-v-ekonomiku-rossii-63222453/,"К настоящему времени сумма инвестиций «Росатома», в том числе в экономику России, достигла примерно 1,5 трлн руб. в год, заявил генеральный директор госкорпорации Алексей Лихачев во время встречи с президентом Владимиром Путиным. Отчет о встрече опубликовала пресс-служба Кремля."
economics,Автоэксперт Кадаков назвал пять особенностей седана Lada Aura,https://news.mail.ru/economics/63225445/,"«АвтоВАЗ» представил седан Lada Aura, цена которого в максимальной комплектации превысит 3 млн рублей. Его планируют поставлять в госструктуры и предлагать частным клиентам, в том числе для поездок с личным водителем. О том, что представляет собой первый премиальный автомобиль из Тольятти, сделанный из дешевой Vesta, — в материале «Газеты.Ru»."
economics,РФ запросила Азербайджан и Грузию об импорте электроэнергии при авариях,https://news.mail.ru/economics/63224440/,"СОЧИ, 15 октября. /ТАСС/. Россия запросила Азербайджан и Грузию о возможности импортировать электроэнергию в объеме 600 МВт в целом во время аварийных режимов, сообщила журналистам член правления «Интер РАО» Александра Панина в кулуарах Всероссийской тарифной конференции."
economics,В Курчатовском институте рассказали о задаче перейти на российские дрожжи,https://finance.mail.ru/2024-10-15/v-kurchatovskom-institute-rasskazali-o-zadache-pereyti-na-rossiyskie-drozhzhi-63223536/,"Российские ученые в короткое время должны создать возможность для производителей перейти на отечественные микроорганизмы и дрожжи, которые, в частности, используются в изготовлении алкогольных напитков."
economics,Иран прекратил авиаперелеты в Европу,https://finance.mail.ru/2024-10-15/iran-prekratil-aviaperelety-v-evropu-63223770/,"Авиакомпания Iran Air прекратила полеты в Европу после введения европейских санкций. Iran Air оставалась единственным перевозчиком, осуществлявшим рейсы из Ирана в европейские страны."
economics,Каким будет курс рубля 16 октября 2024: прогноз эксперта,https://finance.mail.ru/2024-10-15/kurs-rublya-16-oktyabrya-2024-63224542/,"Индекс Мосбиржи во вторник торговался в плюсе, отметившись выше 2800 п., отмечает Александр Шепелев, эксперт по фондовому рынку «БКС Мир инвестиций»"
economics,В Екатеринбурге представили решения для дорожно-транспортной инфраструктуры,https://news.mail.ru/economics/63223904/,"На выставке «Дорога 2024», которая проходит в Екатеринбурге, продемонстрировали инновационные отечественные решения из алюминиевых сплавов для создания и модернизации дорожно-транспортной инфраструктуры. Например, на мероприятии представили быстровозводимые автостанции и остановочные павильоны. Еще одним важным представленным проектом стали инновационные мостокомплекты из алюминиевых сплавов. Почему быстровозводимые конструкции могут стать драйвером развития отрасли — в материале «Газеты.Ru»."
economics,"Экономисты рассказали, спасет ли ОПЕК+ рынок нефти",https://finance.mail.ru/2024-10-15/ekonomisty-rasskazali-spaset-li-opek-rynok-nefti-63163191/,"Конфликт на Ближнем Востоке сделал ситуацию на нефтяном рынке более непредсказуемой, чем в начале пандемии коронавируса. Каким образом он влияет на нефтяную отрасль и сможет ли ОПЕК+ стабилизировать ситуацию, разбирались Финансы Mail."
economics,Старший вице-президент Сбера Ганеев: принципы партнерства — основа деловых отношений,https://news.mail.ru/economics/63222988/,"Накануне VI Российского исламского экономического форума «Россия — гарант партнерства» старший вице-президент Сбербанка Олег Ганеев рассказал «Газете.Ru», как в банке развивается сегмент партнерского финансирования и какое место он занимает в общей стратегии человекоцентричности."
economics,ФАС назвала аномально высокой наценку на хлеб в торговых сетях,https://finance.mail.ru/2024-10-15/fas-nazvala-anomalno-vysokoy-nacenku-na-hleb-v-torgovyh-setyah-63221973/,"СОЧИ, 15 октября. /ТАСС/. Федеральная антимонопольная служба (ФАС) России назвала аномально высокой наценку на хлеб в торговых сетях. Об этом журналистам заявил руководитель службы Максим Шаскольский в кулуарах Всероссийской тарифной конференции."
